task_ID,Floor_No,Gate_number,Criticality,Number_of_Personnel
T-001,1,0,3,51
T-001,1,40,3,4
T-001,1,41,3,4
T-001,1,42,3,4
T-001,1,43,3,4
T-001,1,44,3,4
T-001,1,45,3,4
T-001,1,46,3,4
T-001,1,47,3,4
T-001,1,48,3,4
T-001,1,49,3,4
T-001,2,20,3,4
T-001,2,21,3,4
T-001,2,22,3,4
T-001,2,23,3,4
T-001,2,24,3,4
T-001,2,25,3,4
T-001,2,26,3,4
T-001,2,27,3,4
T-001,2,28,3,4
T-001,2,29,3,4
T-001,2,30,3,4
T-001,2,31,3,4
T-001,2,32,3,4
T-001,2,33,3,4
T-001,2,34,3,4
T-001,2,35,3,4
T-001,2,36,3,4
T-001,2,37,3,4
T-001,2,38,3,4
T-001,2,39,3,4
T-001,3,1,3,4
T-001,3,2,3,4
T-001,3,3,3,4
T-001,3,4,3,4
T-001,3,5,3,4
T-001,3,6,3,4
T-001,3,7,3,4
T-001,3,8,3,4
T-001,3,9,3,4
T-001,3,10,3,4
T-001,3,11,3,4
T-001,3,12,3,4
T-001,3,13,3,4
T-001,3,14,3,4
T-001,3,15,3,4
T-001,3,16,3,4
T-001,3,17,3,4
T-001,3,18,3,4
T-001,3,19,3,4
T-002,1,0,2,54
T-002,1,40,2,12
T-002,1,41,2,12
T-002,1,42,2,12
T-002,1,43,2,12
T-002,1,44,2,12
T-002,1,45,2,12
T-002,1,46,2,12
T-002,1,47,2,12
T-002,1,48,2,12
T-002,1,49,2,12
T-002,2,20,2,12
T-002,2,21,2,12
T-002,2,22,2,12
T-002,2,23,2,12
T-002,2,24,2,12
T-002,2,25,2,12
T-002,2,26,2,12
T-002,2,27,2,12
T-002,2,28,2,12
T-002,2,29,2,12
T-002,2,30,2,12
T-002,2,31,2,12
T-002,2,32,2,12
T-002,2,33,2,12
T-002,2,34,2,12
T-002,2,35,2,12
T-002,2,36,2,12
T-002,2,37,2,12
T-002,2,38,2,12
T-002,2,39,2,12
T-002,3,1,2,12
T-002,3,2,2,12
T-002,3,3,2,12
T-002,3,4,2,12
T-002,3,5,2,12
T-002,3,6,2,12
T-002,3,7,2,12
T-002,3,8,2,12
T-002,3,9,2,12
T-002,3,10,2,12
T-002,3,11,2,12
T-002,3,12,2,12
T-002,3,13,2,12
T-002,3,14,2,12
T-002,3,15,2,12
T-002,3,16,2,12
T-002,3,17,2,12
T-002,3,18,2,12
T-002,3,19,2,12
T-003,1,0,2,45
T-003,1,40,2,12
T-003,1,41,2,12
T-003,1,42,2,12
T-003,1,43,2,12
T-003,1,44,2,12
T-003,1,45,2,12
T-003,1,46,2,12
T-003,1,47,2,12
T-003,1,48,2,12
T-003,1,49,2,12
T-003,2,20,2,12
T-003,2,21,2,12
T-003,2,22,2,12
T-003,2,23,2,12
T-003,2,24,2,12
T-003,2,25,2,12
T-003,2,26,2,12
T-003,2,27,2,12
T-003,2,28,2,12
T-003,2,29,2,12
T-003,2,30,2,12
T-003,2,31,2,12
T-003,2,32,2,12
T-003,2,33,2,12
T-003,2,34,2,12
T-003,2,35,2,12
T-003,2,36,2,12
T-003,2,37,2,12
T-003,2,38,2,12
T-003,2,39,2,12
T-003,3,1,2,12
T-003,3,2,2,12
T-003,3,3,2,12
T-003,3,4,2,12
T-003,3,5,2,12
T-003,3,6,2,12
T-003,3,7,2,12
T-003,3,8,2,12
T-003,3,9,2,12
T-003,3,10,2,12
T-003,3,11,2,12
T-003,3,12,2,12
T-003,3,13,2,12
T-003,3,14,2,12
