crew_id,join_date,experience_years,technical_knowledge_score,safety_procedures_score,equipment_operation_score,communication_score,leadership_score,problem_solving_score,emergency_response_score,quality_control_score,team_collaboration_score
C-001,2023-03-14,4.301283492800785,84,80,97,72,89,64,98,92,95
C-002,2023-08-22,12.365361103406917,89,93,85,90,90,84,80,94,88
C-003,2023-08-29,5.464131490081419,62,92,89,73,96,69,74,60,74
C-004,2023-04-15,12.06316326854611,67,72,62,80,88,73,95,76,91
C-005,2023-09-24,8.233621257326972,90,61,73,62,65,79,80,92,86
C-006,2023-04-03,5.4050920813306504,95,74,98,77,93,84,97,62,94
C-007,2023-02-11,0.5162879699099284,84,98,73,95,70,73,71,85,66
C-008,2023-05-27,0.9145780327908943,65,61,61,99,93,81,69,64,68
C-009,2023-11-09,9.473874548146796,70,87,96,84,94,75,93,77,71
C-010,2023-11-17,3.1297977378938167,79,91,61,83,89,63,89,88,85
C-011,2023-07-20,3.823392301898967,94,70,92,98,60,75,87,92,73
C-012,2023-01-29,11.89818898002941,93,81,75,67,90,67,95,61,67
C-013,2023-05-12,0.755289831786178,62,87,74,96,75,98,66,99,64
C-014,2023-08-09,8.30519033622063,99,62,87,99,91,78,89,63,85
C-015,2023-05-05,13.150479698811628,63,70,90,88,64,75,88,69,79
C-016,2023-04-10,14.468181772786691,83,77,68,71,75,60,64,68,92
C-017,2023-06-05,12.278551204456566,75,86,76,69,88,92,67,63,100
C-018,2023-02-16,5.826002297784143,92,89,80,87,64,80,63,60,77
C-019,2023-08-16,11.993505432617502,81,80,99,76,96,91,91,70,63
C-020,2023-02-08,1.804058432668777,72,87,81,82,93,94,98,69,62
C-021,2023-12-05,1.2653288470186816,79,95,61,80,73,87,74,61,75
C-022,2023-12-18,9.818546551820088,75,86,65,91,87,71,69,80,94
C-023,2023-09-20,10.860411518718694,61,86,64,61,91,85,99,75,68
C-024,2023-05-18,14.499900397693027,88,73,67,95,86,88,98,95,90
C-025,2023-05-07,5.009503254186923,71,77,86,70,90,61,100,71,71
C-026,2023-12-29,4.158922696739589,87,65,94,93,96,74,64,100,77
C-027,2023-03-27,9.203222828754296,93,63,73,97,90,69,86,91,85
C-028,2023-04-19,0.7923569422401826,66,76,61,69,77,71,97,64,100
C-029,2023-07-20,6.369890024811375,88,68,73,87,96,87,71,89,89
C-030,2023-07-22,8.26010840324468,96,98,99,94,74,81,97,60,93
C-031,2023-12-03,6.489890079869939,60,75,91,62,74,60,78,99,83
C-032,2023-10-19,3.245624786136021,70,69,83,82,76,67,82,63,65
C-033,2023-04-22,12.173318260148578,67,80,81,68,98,86,91,79,93
C-034,2023-06-15,3.50585500895434,95,98,64,83,70,74,92,85,94
C-035,2023-01-31,1.923343675461116,100,97,100,69,80,67,97,91,75
C-036,2023-07-18,1.9972676410760948,65,87,64,89,100,92,64,63,67
C-037,2023-02-12,5.686478306634509,65,62,78,89,64,82,69,96,70
C-038,2023-06-04,10.684788714686507,98,93,62,99,92,90,89,98,63
C-039,2023-07-16,11.82089409909859,98,90,88,98,98,80,90,71,81
C-040,2023-10-16,7.543127671931271,81,89,70,68,82,61,60,68,68
C-041,2023-09-05,3.9253263423426894,71,82,92,99,70,68,74,91,70
C-042,2023-06-02,6.951394970288234,63,78,94,61,92,90,82,77,99
C-043,2023-11-30,7.446229592172625,89,99,69,68,74,60,70,94,86
C-044,2023-08-16,12.786197883376936,60,91,95,70,60,71,86,96,74
C-045,2023-01-09,10.376395515779864,72,99,96,85,73,89,72,73,72
C-046,2023-03-24,1.189115382792629,82,87,68,99,85,85,65,91,88
C-047,2023-01-11,14.418681384836514,79,83,94,76,80,78,97,89,87
C-048,2023-12-07,12.40463868984866,69,88,80,65,97,73,97,72,74
C-049,2023-02-02,11.823063785251012,60,65,61,87,71,65,69,83,98
C-050,2023-12-27,8.854568978357602,83,63,65,62,61,67,87,99,72
C-051,2023-10-15,7.786085937333932,68,65,87,87,92,89,85,89,69
C-052,2023-12-28,5.085029810585849,71,79,90,86,85,92,77,71,69
C-053,2023-10-11,9.390373749571559,91,76,95,97,71,80,62,90,68
C-054,2023-04-09,6.340070036924805,66,95,66,94,71,83,95,99,80
C-055,2023-11-01,12.897559859398688,97,89,76,73,92,76,91,66,77
C-056,2023-04-02,0.8755492868033362,65,70,74,82,88,88,77,98,90
C-057,2023-06-08,13.022909948812186,71,97,76,70,70,100,81,66,76
C-058,2023-02-25,0.8496637549602395,65,95,77,94,63,86,70,60,68
C-059,2023-08-27,2.5749756628394707,75,98,96,78,73,88,60,73,60
C-060,2023-01-05,9.548585636334066,72,98,71,83,67,95,65,77,64
C-061,2023-12-02,11.26363976534852,74,78,77,73,63,88,75,83,89
C-062,2023-03-31,6.0071756970858345,80,86,71,74,80,89,87,86,77
C-063,2023-09-21,6.480788015055118,97,60,86,92,60,99,62,85,92
C-064,2023-07-13,2.84619378542683,67,61,94,88,98,100,83,91,70
C-065,2023-02-28,5.669491221505534,93,83,65,75,90,84,82,98,80
C-066,2023-02-07,5.41921089326321,79,99,71,96,73,74,70,100,62
C-067,2023-12-05,14.424650116114186,79,60,64,87,89,67,71,63,94
C-068,2023-06-20,9.190342325297776,61,60,65,76,62,60,89,67,78
C-069,2023-10-19,14.790311957188317,71,62,98,80,99,82,97,64,99
C-070,2023-03-10,7.862432363650641,76,62,71,95,70,89,82,66,98
C-071,2023-05-17,3.0613953435922996,86,76,91,68,82,68,82,84,65
C-072,2023-01-05,6.000711419193907,87,75,88,100,91,97,78,83,100
C-073,2023-05-17,1.3117022920243386,71,74,87,90,70,80,69,84,88
C-074,2023-10-29,7.064209534789779,63,97,68,100,96,99,79,79,78
