Crew_ID,department,Date,Task_Completion_Time,Idle_Time,Shift_Duration,Fatigue_Level,Weather_Condition,Equipment_Used,Tasks_Completed,Experience_Level,Safety_Incidents,Shift_Start_Time,Breaks_Taken
C-001,Aircraft Servicing,2023-07-04,26.88,10.24,517.0,6.28,Windy,Equipment_A,4,17.15,0,2023-01-01 07:38:00,1
C-002,Aircraft Servicing,2023-04-30,110.17,13.24,552.91,5.01,Cloudy,Equipment_D,9,5.05,0,2023-01-01 13:44:00,3
C-003,Baggage and Cargo Handling,2023-08-11,65.48,51.57,542.51,8.81,Cloudy,Equipment_C,6,1.85,1,2023-01-01 03:07:00,2
C-004,Safety and Maintenance Support,2023-08-25,80.11,31.21,483.6,3.91,Sunny,Equipment_D,9,6.91,1,2023-01-01 23:01:00,3
C-005,Emergency and Contingency Tasks,2023-01-11,101.09,45.86,485.62,9.74,Windy,Equipment_B,6,16.38,0,2023-01-01 06:04:00,4
C-006,Communication and Coordination,2023-04-12,52.51,8.1,491.7,5.88,Cloudy,Equipment_B,7,13.96,0,2023-01-01 01:34:00,3
C-007,Aircraft Servicing,2023-10-13,18.7,59.87,492.31,1.05,Windy,Equipment_C,8,12.5,1,2023-01-01 14:58:00,4
C-008,Equipment Operation and Maintenance,2023-04-22,101.29,30.03,503.36,4.21,Cloudy,Equipment_D,3,16.09,1,2023-01-01 15:14:00,4
C-009,Communication and Coordination,2023-04-17,69.98,28.45,565.29,1.84,Cloudy,Equipment_D,4,8.08,1,2023-01-01 23:32:00,4
C-010,Emergency and Contingency Tasks,2023-08-29,19.52,31.99,567.59,6.77,Cloudy,Equipment_B,9,3.46,1,2023-01-01 13:17:00,2
C-011,Emergency and Contingency Tasks,2023-08-05,101.72,12.13,555.82,3.21,Cloudy,Equipment_A,1,16.53,1,2023-01-01 08:41:00,4
C-012,Equipment Operation and Maintenance,2023-09-16,103.63,39.07,576.77,3.47,Sunny,Equipment_D,8,2.15,1,2023-01-01 01:50:00,1
C-013,Safety and Maintenance Support,2023-01-23,30.22,52.03,522.9,7.16,Rainy,Equipment_A,5,6.32,1,2023-01-01 05:27:00,2
C-014,Baggage and Cargo Handling,2023-06-18,87.47,34.96,550.48,6.96,Rainy,Equipment_B,8,8.56,0,2023-01-01 17:42:00,2
C-015,Emergency and Contingency Tasks,2023-10-17,40.98,39.25,559.4,5.82,Sunny,Equipment_B,2,15.28,1,2023-01-01 13:24:00,3
C-016,Safety and Maintenance Support,2023-12-14,113.63,40.64,555.97,2.46,Rainy,Equipment_A,7,1.09,1,2023-01-01 00:13:00,2
C-017,Safety and Maintenance Support,2023-11-29,68.89,44.17,484.43,4.15,Windy,Equipment_B,8,2.95,1,2023-01-01 22:25:00,1
C-018,Communication and Coordination,2023-05-28,94.42,52.87,555.16,3.86,Windy,Equipment_D,3,18.9,1,2023-01-01 09:34:00,2
C-019,Emergency and Contingency Tasks,2023-05-25,94.16,14.76,587.82,3.19,Windy,Equipment_A,3,3.26,1,2023-01-01 10:14:00,2
C-020,Emergency and Contingency Tasks,2023-07-11,14.65,56.59,598.72,5.39,Windy,Equipment_D,8,4.39,1,2023-01-01 09:45:00,1
C-021,Aircraft Servicing,2023-08-07,48.99,37.71,491.26,4.06,Cloudy,Equipment_A,9,16.83,0,2023-01-01 05:02:00,2
C-022,Emergency and Contingency Tasks,2023-07-12,55.85,37.03,599.99,3.59,Windy,Equipment_B,5,15.72,0,2023-01-01 10:43:00,4
C-023,Baggage and Cargo Handling,2023-12-21,56.15,17.59,517.83,1.87,Rainy,Equipment_D,3,9.05,0,2023-01-01 05:19:00,4
C-024,Aircraft and Passenger Operations,2023-03-13,93.91,46.6,549.2,9.41,Cloudy,Equipment_A,1,3.37,0,2023-01-01 11:20:00,4
C-025,Baggage and Cargo Handling,2023-01-12,81.12,37.1,583.0,8.9,Windy,Equipment_A,9,12.95,1,2023-01-01 04:00:00,3
C-026,Baggage and Cargo Handling,2023-08-08,89.51,27.84,526.43,7.85,Rainy,Equipment_B,7,19.11,0,2023-01-01 19:42:00,2
