crew_id,join_date,experience_years,technical_knowledge_score,safety_procedures_score,equipment_operation_score,communication_score,leadership_score,problem_solving_score,emergency_response_score,quality_control_score,team_collaboration_score
C-001,2023-01-19,5.674043910806337,67,94,60,62,93,82,79,68,66
C-002,2023-08-30,1.3468681169337429,81,62,88,71,91,89,76,91,96
C-003,2023-01-05,6.250445349499853,100,73,75,99,77,77,69,100,97
C-004,2023-09-30,9.648119509203836,92,92,77,61,97,84,96,90,78
C-005,2023-07-07,10.377799411348438,64,64,82,67,88,84,88,100,78
C-006,2023-08-10,13.058928799258345,70,80,67,95,94,73,62,66,95
C-007,2023-07-08,10.581976777559621,61,97,81,62,92,74,64,74,92
C-008,2023-09-27,4.54748860751109,86,71,97,86,96,99,69,75,92
C-009,2023-04-02,11.85044066467939,100,100,86,76,61,80,79,92,65
C-010,2023-03-18,3.216374249630136,100,98,86,75,93,85,86,90,71
C-011,2023-02-07,9.06357781414864,72,98,82,80,66,95,85,70,77
C-012,2023-01-04,9.355080015860624,78,91,87,67,77,62,83,63,78
C-013,2023-04-16,9.746783668060926,76,81,92,83,86,70,64,68,79
C-014,2023-09-04,4.940399914279419,88,73,75,79,98,65,63,61,84
C-015,2023-02-06,4.026927790003631,90,65,99,77,85,85,70,78,99
C-016,2023-02-06,12.51226207396582,64,63,70,73,61,98,98,100,61
C-017,2023-03-24,14.831650788667966,66,77,74,90,71,69,61,80,83
C-018,2023-05-04,12.628357378286813,84,76,93,80,64,72,81,93,65
C-019,2023-07-30,9.06124859712657,66,90,81,60,96,88,86,98,81
C-020,2023-03-17,2.5959109344952456,93,78,92,61,67,98,89,63,89
C-021,2023-12-02,4.929760503237238,89,94,88,71,62,75,91,85,64
C-022,2023-07-16,8.48205648162304,89,78,66,100,86,76,74,98,82
C-023,2023-05-06,8.79628425340393,83,97,98,74,64,83,70,95,85
C-024,2023-11-26,12.035040123947207,65,73,100,85,66,72,91,65,76
C-025,2023-01-04,2.617012305836496,75,95,98,79,94,72,62,97,85
C-026,2023-03-15,14.950202477029443,99,64,66,67,91,85,97,68,91
C-027,2023-11-06,13.767863049600432,61,93,66,73,65,84,78,76,88
C-028,2023-10-09,5.570607887709133,98,96,81,95,100,71,64,93,65
C-029,2023-06-18,4.752485104420709,97,99,70,91,92,67,95,60,61
