crew_id,date,task_completion_rate,quality_score,feedback_text
C-001,2023-05-25,77.45144592645799,88,Demonstrates excellent leadership qualities
C-001,2024-01-02,88.69032822770966,71,Shows strong initiative in problem-solving
C-001,2023-12-11,76.01324778977181,99,Needs additional support with technical tasks
C-001,2024-01-11,94.3307973094243,90,Could improve communication with team members
C-001,2024-01-04,75.75441306392277,87,Consistently follows safety procedures
C-001,2023-01-23,89.61487735495551,97,Demonstrates excellent leadership qualities
C-002,2024-01-31,87.52640282590342,91,Could improve communication with team members
C-002,2023-01-05,85.98771743263447,99,Demonstrates excellent leadership qualities
C-002,2023-05-05,79.54217097288009,83,Demonstrates excellent leadership qualities
C-002,2024-01-16,76.79590115954016,89,Shows strong initiative in problem-solving
C-002,2023-01-15,89.47149781917204,93,Consistently follows safety procedures
C-003,2023-12-03,83.0623498567896,94,Shows strong initiative in problem-solving
C-003,2023-03-14,76.90156996916846,72,Demonstrates excellent leadership qualities
C-003,2024-02-21,77.09047335691466,97,Consistently follows safety procedures
C-003,2023-04-13,91.41411638410455,90,Could improve communication with team members
C-003,2023-05-20,79.06775675077432,76,Needs additional support with technical tasks
C-003,2023-05-20,90.20218860157136,74,Consistently follows safety procedures
C-003,2024-01-26,76.50799167409826,70,Consistently follows safety procedures
C-003,2023-10-11,95.27582104414766,98,Demonstrates excellent leadership qualities
C-003,2023-10-15,77.16581844312103,91,Needs additional support with technical tasks
C-004,2024-03-23,88.10711042323437,96,Needs additional support with technical tasks
C-004,2023-02-18,86.97998883544905,74,Needs additional support with technical tasks
C-004,2024-02-25,85.65103143745979,86,Could improve communication with team members
C-004,2023-05-27,95.39704332230073,70,Shows strong initiative in problem-solving
C-004,2023-07-07,95.60054562212568,95,Shows strong initiative in problem-solving
C-005,2024-03-18,86.82117403022373,87,Demonstrates excellent leadership qualities
C-005,2023-10-09,96.69372995198067,94,Could improve communication with team members
C-005,2023-01-23,98.0331564650106,85,Required more training on equipment operation
C-005,2024-01-25,96.55880864263817,85,Demonstrates excellent leadership qualities
C-005,2023-07-23,77.34231037490997,82,Required more training on equipment operation
C-005,2024-03-17,91.84087605535093,88,Demonstrates excellent leadership qualities
C-005,2023-12-29,98.064182589338,93,Shows strong initiative in problem-solving
C-005,2023-04-30,77.67872021119294,88,Required more training on equipment operation
C-005,2024-02-20,98.89991744736201,74,Needs additional support with technical tasks
