crew_id,join_date,experience_years,technical_knowledge_score,safety_procedures_score,equipment_operation_score,communication_score,leadership_score,problem_solving_score,emergency_response_score,quality_control_score,team_collaboration_score
C-001,2023-07-20,2.6510709988805448,60,75,71,70,91,90,93,73,66
C-002,2023-10-09,9.075881080180624,91,97,74,80,69,92,90,61,75
C-003,2023-06-11,9.177285528327872,73,74,89,81,69,79,72,92,66
C-004,2023-04-26,13.144977776211553,99,80,66,71,66,72,78,71,89
C-005,2023-11-04,3.7774990361407323,77,79,74,73,62,67,81,90,73
C-006,2023-08-05,3.3648393453082095,73,81,83,88,66,68,64,85,63
C-007,2023-05-19,2.724207197155602,94,81,64,76,81,87,90,79,75
C-008,2023-10-18,3.5192653386186383,92,62,69,93,76,80,78,83,73
C-009,2023-12-13,10.810825877040784,91,84,72,65,73,68,88,93,70
C-010,2023-04-09,14.373536837904581,61,97,86,88,70,70,69,88,67
C-011,2023-04-21,7.9289828323377325,69,74,98,74,91,60,64,63,64
C-012,2023-05-16,14.607327019502208,99,83,78,100,61,89,75,78,86
C-013,2023-10-02,9.889342557888803,88,61,95,63,100,67,62,75,77
C-014,2023-07-14,7.493973053012489,73,70,96,89,60,85,64,64,66
C-015,2023-10-29,10.204018159625377,97,76,72,78,60,70,88,78,96
C-016,2023-09-07,2.8569323274666947,100,96,87,77,94,66,92,88,62
C-017,2023-11-17,12.97879515214088,79,89,63,99,76,66,67,94,79
C-018,2023-01-10,1.1462319340307037,75,81,70,62,66,93,80,96,78
C-019,2023-07-05,5.731395646428289,87,80,99,83,69,83,72,89,66
C-020,2023-10-08,10.90902076541554,71,82,85,67,76,88,91,61,69
C-021,2023-04-05,5.242561555088441,75,90,77,90,86,71,94,85,87
C-022,2023-08-02,11.18878405045042,90,75,65,85,71,92,74,79,67
C-023,2023-10-25,7.148524770251058,80,78,66,62,96,95,88,66,76
C-024,2023-11-12,12.174501740953826,83,84,100,95,63,90,78,62,95
C-025,2023-04-08,12.822178154754626,89,86,78,93,98,67,100,73,72
C-026,2023-02-14,13.920538330002481,97,65,88,100,86,93,91,98,82
C-027,2023-01-18,11.133101200647044,81,70,85,68,68,70,98,81,68
C-028,2023-05-23,3.889176706396069,76,95,85,85,71,78,85,67,83
C-029,2023-01-18,4.061621723968452,89,68,71,70,94,86,89,93,89
C-030,2023-05-04,8.229804258536511,93,68,97,69,94,69,69,99,86
C-031,2023-10-08,7.820552989582671,80,69,79,99,95,96,90,94,90
C-032,2023-03-13,12.844493543923553,76,95,79,77,79,75,84,99,90
C-033,2023-02-21,8.361911878386056,99,95,90,91,77,68,73,61,68
C-034,2023-09-08,7.69097603066046,70,63,94,69,78,65,69,65,95
C-035,2023-10-19,12.527674038440031,71,99,80,88,95,81,98,98,68
C-036,2023-01-01,7.6089756553784245,94,93,75,98,97,64,99,78,61
C-037,2023-11-16,3.89080678543757,82,86,80,94,63,62,85,93,81
C-038,2023-02-09,7.02844064094892,94,98,77,72,88,78,93,93,70
C-039,2023-02-03,7.968369946331221,78,100,82,99,63,82,77,76,97
C-040,2023-12-24,2.6535227596772493,90,98,65,81,66,71,83,99,92
C-041,2023-03-05,13.305843434602432,76,80,62,72,94,73,88,67,88
C-042,2023-12-31,12.0855222412188,81,99,64,90,96,77,96,78,92
C-043,2023-09-17,6.951363096523552,60,75,77,64,96,82,94,75,94
C-044,2023-02-20,5.84022124767908,68,75,100,99,70,80,65,68,74
C-045,2023-07-07,12.670701447223266,77,67,97,86,66,64,79,72,79
C-046,2023-06-12,1.9785008796283685,85,73,87,62,99,95,96,78,76
C-047,2023-07-09,14.262605671466313,88,74,75,83,87,89,90,76,89
C-048,2023-05-22,6.303010078398729,80,61,78,88,64,63,87,63,67
C-049,2023-12-09,6.070433229785989,90,78,91,61,92,70,76,83,69
C-050,2023-09-21,6.783645302340188,93,90,72,90,99,74,100,88,73
C-051,2023-08-12,7.83786194525714,96,86,98,95,97,64,92,73,74
C-052,2023-06-12,11.942546871313104,68,96,62,81,74,84,93,84,61
C-053,2023-10-22,6.859804426969503,74,68,99,68,98,84,88,79,66
C-054,2023-09-25,4.148891862665714,96,81,82,65,67,100,72,84,70
C-055,2023-08-04,0.7665086998217825,99,61,64,65,78,90,68,99,85
C-056,2023-06-03,14.506138366253637,94,91,78,94,97,95,100,100,67
C-057,2023-06-28,1.2513337169527965,93,83,88,79,92,67,88,64,65
C-058,2023-09-16,3.1029552084045826,88,97,71,81,88,82,79,64,96
C-059,2023-02-08,1.9029524697349547,79,67,99,65,60,84,75,64,73
C-060,2023-10-12,8.740187302446607,63,98,75,77,60,69,72,94,88
C-061,2023-09-17,3.1555424174498006,76,60,79,81,62,73,70,75,82
C-062,2023-11-22,2.0708830715150635,72,68,92,100,91,78,84,92,79
C-063,2023-08-19,5.5730334869420535,70,87,83,61,84,60,73,85,74
C-064,2023-03-06,9.099530516975994,64,100,67,71,86,76,69,85,80
C-065,2023-11-27,8.288274481056632,85,78,90,92,88,62,77,89,92
C-066,2023-11-11,5.579557418930879,73,66,70,70,67,90,71,94,80
C-067,2023-08-02,3.6135840382735047,77,87,73,93,63,81,76,83,98
C-068,2023-10-08,3.089140084734751,77,60,78,88,72,88,89,92,83
C-069,2023-05-07,7.557370926622972,68,70,71,63,96,67,84,72,94
C-070,2023-04-28,7.1121237515172755,61,67,60,69,95,100,75,70,84
C-071,2023-08-23,2.843421689891794,85,73,95,70,84,92,86,67,97
C-072,2023-06-22,3.6160875047917673,70,71,90,92,100,77,73,85,69
C-073,2023-06-19,6.022317817764713,77,66,75,82,98,94,95,94,94
C-074,2023-12-04,9.92725500700622,63,98,67,90,88,81,84,71,66
C-075,2023-12-28,1.452343406330363,94,83,68,60,73,79,80,82,87
C-076,2023-08-18,6.46766684100837,100,78,89,95,83,88,64,90,74
C-077,2023-01-23,12.266300810087795,79,78,82,91,98,74,65,89,87
C-078,2023-10-16,9.415271261444744,79,85,82,78,74,67,74,93,95
C-079,2023-07-08,10.381572340876035,91,86,90,99,99,87,69,71,73
C-080,2023-12-16,9.50894518787665,72,99,99,87,90,62,65,60,68
C-081,2023-10-19,14.919396804049413,98,75,89,74,73,61,75,90,98
C-082,2023-11-13,7.271881101583195,88,90,78,77,91,100,75,70,65
C-083,2023-08-24,0.5377354316743115,76,61,67,71,91,72,61,81,60
C-084,2023-08-14,13.110477879883243,69,71,75,99,68,71,63,92,79
C-085,2023-11-16,0.6243601852139125,98,93,78,90,91,78,65,97,93
C-086,2023-04-20,8.670587805471415,77,76,81,95,97,69,100,96,85
C-087,2023-12-04,7.659594455401313,92,91,65,71,75,67,88,63,66
C-088,2023-12-20,13.064184076517948,72,78,95,84,62,62,84,99,92
C-089,2023-02-28,8.811348811563928,87,71,87,99,84,99,93,76,100
C-090,2023-04-14,13.081974201526002,97,75,84,83,74,97,78,67,61
C-091,2023-07-06,5.789273224173044,68,63,75,89,80,74,82,92,68
C-092,2023-11-14,9.200058462498568,88,66,88,64,88,64,80,71,67
C-093,2023-09-15,5.912401752906821,88,79,87,98,94,63,93,62,85
C-094,2023-06-20,7.326452842627327,65,71,64,74,62,100,80,100,76
C-095,2023-07-10,3.4944806499577328,98,96,92,76,93,100,73,74,67
C-096,2023-11-30,5.17982223025852,96,70,92,60,95,78,85,90,83
C-097,2023-01-26,2.454330465836536,80,67,98,86,70,94,66,72,68
C-098,2023-07-23,2.030024417844371,87,91,94,80,98,97,81,95,75
C-099,2023-05-28,14.476632444117026,70,75,89,97,84,68,71,97,60
