task_ID,Floor_No,Gate_number,Criticality,Number_of_Personnel
T-001,0,0,3,38
T-001,0,1,3,4
T-001,0,2,3,4
T-001,0,3,3,4
T-001,0,4,3,4
T-001,0,5,3,4
T-001,0,6,3,4
T-001,0,7,3,4
T-001,0,8,3,4
T-001,0,9,3,4
T-001,0,10,3,4
T-001,0,11,3,4
T-001,0,12,3,4
T-001,0,13,3,4
T-001,0,14,3,4
T-001,0,15,3,4
T-001,0,16,3,4
T-001,0,17,3,4
T-001,0,18,3,4
T-001,0,19,3,4
T-001,0,20,3,4
T-001,0,21,3,4
T-001,0,22,3,4
T-001,0,23,3,4
T-001,0,24,3,4
T-001,0,25,3,4
T-001,0,26,3,4
T-001,1,27,3,4
T-001,1,28,3,4
T-001,1,29,3,4
T-001,1,30,3,4
T-001,1,31,3,4
T-001,1,32,3,4
T-001,1,33,3,4
T-001,1,34,3,4
T-001,1,35,3,4
T-001,1,36,3,4
T-001,1,37,3,4
T-001,1,38,3,4
T-001,1,39,3,4
T-001,1,40,3,4
T-001,1,41,3,4
T-001,1,42,3,4
T-001,1,43,3,4
T-001,1,44,3,4
T-001,1,45,3,4
T-001,1,46,3,4
T-001,1,47,3,4
T-001,1,48,3,4
T-001,1,49,3,4
T-001,1,50,3,4
T-001,1,51,3,4
T-001,1,52,3,4
T-001,1,53,3,4
T-001,1,54,3,4
T-001,1,55,3,4
T-001,1,56,3,4
T-001,1,57,3,4
T-001,1,58,3,4
T-001,1,59,3,4
T-001,1,60,3,4
T-001,1,61,3,4
T-001,1,62,3,4
T-001,2,63,3,3
T-001,2,64,3,4
T-001,2,65,3,1
T-001,2,66,3,2
T-001,2,67,3,3
T-001,2,69,3,1
T-001,2,70,3,3
T-001,2,71,3,1
T-001,2,72,3,1
T-001,2,73,3,1
T-001,2,74,3,2
T-001,2,75,3,2
T-001,2,76,3,1
T-001,2,78,3,1
T-001,3,63,3,1
T-001,3,65,3,1
T-001,3,66,3,1
T-001,3,67,3,1
T-001,3,68,3,1
T-001,3,69,3,1
T-001,3,70,3,1
T-001,3,71,3,2
T-001,3,72,3,2
T-001,3,75,3,1
T-001,3,76,3,2
T-001,3,77,3,3
T-001,4,65,3,1
T-001,4,68,3,3
T-001,4,69,3,2
T-001,4,72,3,1
T-001,4,73,3,3
T-001,4,74,3,1
T-001,4,75,3,1
T-001,4,76,3,1
T-001,4,78,3,2
T-001,5,65,3,1
T-001,5,66,3,1
T-001,5,71,3,1
T-001,5,74,3,1
T-001,5,77,3,1
T-001,5,78,3,1
T-002,0,0,2,36
T-002,0,1,2,12
T-002,0,2,2,12
T-002,0,3,2,12
T-002,0,4,2,12
T-002,0,5,2,12
T-002,0,6,2,12
T-002,0,7,2,12
T-002,0,8,2,12
T-002,0,9,2,12
T-002,0,10,2,12
T-002,0,11,2,12
T-002,0,12,2,12
T-002,0,13,2,12
T-002,0,14,2,12
T-002,0,15,2,12
T-002,0,16,2,12
T-002,0,17,2,12
T-002,0,18,2,12
T-002,0,19,2,12
T-002,0,20,2,12
T-002,0,21,2,12
T-002,0,22,2,12
T-002,0,23,2,12
T-002,0,24,2,12
T-002,0,25,2,12
T-002,0,26,2,12
T-002,1,27,2,12
T-002,1,28,2,12
T-002,1,29,2,12
T-002,1,30,2,12
T-002,1,31,2,12
T-002,1,32,2,12
T-002,1,33,2,12
T-002,1,34,2,12
T-002,1,35,2,12
T-002,1,36,2,12
T-002,1,37,2,12
T-002,1,38,2,12
T-002,1,39,2,12
T-002,1,40,2,12
T-002,1,41,2,12
T-002,1,42,2,12
T-002,1,43,2,12
T-002,1,44,2,12
T-002,1,45,2,12
T-002,1,46,2,12
T-002,1,47,2,12
T-002,1,48,2,12
T-002,1,49,2,12
T-002,1,50,2,12
T-002,1,51,2,12
T-002,1,52,2,12
T-002,1,53,2,12
T-002,1,54,2,12
T-002,1,55,2,12
T-002,1,56,2,12
T-002,1,57,2,12
T-002,1,58,2,12
T-002,1,59,2,12
T-002,1,60,2,12
T-002,1,61,2,12
T-002,1,62,2,12
T-002,2,63,2,9
T-002,2,64,2,12
T-002,2,65,2,3
T-002,2,66,2,6
T-002,2,67,2,9
T-002,2,69,2,3
T-002,2,70,2,9
T-002,2,71,2,3
T-002,2,72,2,3
T-002,2,73,2,3
T-002,2,74,2,6
T-002,2,75,2,6
T-002,2,76,2,3
T-002,2,78,2,3
T-002,3,63,2,3
T-002,3,65,2,3
T-002,3,66,2,3
T-002,3,67,2,3
T-002,3,68,2,3
T-002,3,69,2,3
T-002,3,70,2,3
T-002,3,71,2,6
T-002,3,72,2,6
T-002,3,75,2,3
T-002,3,76,2,6
T-002,3,77,2,9
T-002,4,65,2,3
T-002,4,68,2,9
T-002,4,69,2,6
T-002,4,72,2,3
T-002,4,73,2,9
T-002,4,74,2,3
T-002,4,75,2,3
T-002,4,76,2,3
T-002,4,78,2,6
T-002,5,65,2,3
T-002,5,66,2,3
T-002,5,71,2,3
T-002,5,74,2,3
T-002,5,77,2,3
T-002,5,78,2,3
T-003,0,0,2,45
T-003,0,1,2,16
T-003,0,2,2,16
T-003,0,3,2,16
T-003,0,4,2,16
T-003,0,5,2,16
T-003,0,6,2,16
T-003,0,7,2,16
T-003,0,8,2,16
T-003,0,9,2,16
T-003,0,10,2,16
T-003,0,11,2,16
T-003,0,12,2,16
T-003,0,13,2,16
T-003,0,14,2,16
T-003,0,15,2,16
T-003,0,16,2,16
T-003,0,17,2,16
T-003,0,18,2,16
T-003,0,19,2,16
T-003,0,20,2,16
T-003,0,21,2,16
T-003,0,22,2,16
T-003,0,23,2,16
T-003,0,24,2,16
T-003,0,25,2,16
T-003,0,26,2,16
T-003,1,27,2,16
T-003,1,28,2,16
T-003,1,29,2,16
T-003,1,30,2,16
T-003,1,31,2,16
T-003,1,32,2,16
T-003,1,33,2,16
T-003,1,34,2,16
T-003,1,35,2,16
T-003,1,36,2,16
T-003,1,37,2,16
T-003,1,38,2,16
T-003,1,39,2,16
T-003,1,40,2,16
T-003,1,41,2,16
T-003,1,42,2,16
T-003,1,43,2,16
T-003,1,44,2,16
T-003,1,45,2,16
T-003,1,46,2,16
T-003,1,47,2,16
T-003,1,48,2,16
T-003,1,49,2,16
T-003,1,50,2,16
T-003,1,51,2,16
T-003,1,52,2,16
T-003,1,53,2,16
T-003,1,54,2,16
T-003,1,55,2,16
T-003,1,56,2,16
T-003,1,57,2,16
T-003,1,58,2,16
T-003,1,59,2,16
T-003,1,60,2,16
T-003,1,61,2,16
T-003,1,62,2,16
T-003,2,63,2,12
T-003,2,64,2,16
T-003,2,65,2,4
T-003,2,66,2,8
T-003,2,67,2,12
T-003,2,69,2,4
T-003,2,70,2,12
T-003,2,71,2,4
T-003,2,72,2,4
T-003,2,73,2,4
T-003,2,74,2,8
T-003,2,75,2,8
T-003,2,76,2,4
T-003,2,78,2,4
T-003,3,63,2,4
T-003,3,65,2,4
T-003,3,66,2,4
T-003,3,67,2,4
T-003,3,68,2,4
T-003,3,69,2,4
T-003,3,70,2,4
T-003,3,71,2,8
T-003,3,72,2,8
T-003,3,75,2,4
T-003,3,76,2,8
T-003,3,77,2,12
T-003,4,65,2,4
T-003,4,68,2,12
T-003,4,69,2,8
T-003,4,72,2,4
T-003,4,73,2,12
T-003,4,74,2,4
T-003,4,75,2,4
T-003,4,76,2,4
T-003,4,78,2,8
T-003,5,65,2,4
T-003,5,66,2,4
T-003,5,71,2,4
T-003,5,74,2,4
T-003,5,77,2,4
T-003,5,78,2,4
T-004,0,0,1,36
T-004,0,1,1,16
T-004,0,2,1,16
T-004,0,3,1,16
T-004,0,4,1,16
T-004,0,5,1,16
T-004,0,6,1,16
T-004,0,7,1,16
T-004,0,8,1,16
T-004,0,9,1,16
T-004,0,10,1,16
T-004,0,11,1,16
T-004,0,12,1,16
