crew_id,join_date,experience_years,technical_knowledge_score,safety_procedures_score,equipment_operation_score,communication_score,leadership_score,problem_solving_score,emergency_response_score,quality_control_score,team_collaboration_score
C-001,2023-07-03,1.592228500135286,90,83,94,84,90,68,98,60,81
C-002,2023-06-20,5.319460568707422,93,81,88,69,90,63,73,90,76
C-003,2023-08-19,6.18610198301308,89,65,86,69,85,74,75,81,63
C-004,2023-09-01,10.7444302463577,67,85,82,94,87,81,93,86,64
C-005,2023-02-14,9.84292430004416,81,86,95,85,90,91,62,76,93
C-006,2023-05-04,2.8625126897163,84,98,79,71,69,91,74,98,71
C-007,2023-12-13,13.532496861350328,86,94,68,93,97,85,60,64,60
C-008,2023-05-22,7.608614712401578,71,72,73,60,69,78,63,62,96
C-009,2023-07-09,8.117928457881545,65,63,82,66,99,89,73,87,62
C-010,2023-09-19,7.953868356048179,99,82,77,66,99,95,92,65,89
C-011,2023-02-04,10.492584597022535,66,65,87,68,63,89,76,76,84
C-012,2023-07-25,8.132687389874008,62,71,77,83,76,88,97,88,69
C-013,2023-01-04,7.190366843131552,94,81,71,70,86,71,71,80,79
C-014,2023-01-08,11.70104698535137,77,68,99,62,86,73,76,100,81
C-015,2023-06-19,14.197642404133665,76,91,99,72,75,79,92,82,88
C-016,2023-01-18,7.2837876992557815,80,82,94,85,70,78,91,99,70
C-017,2023-01-08,4.580773998573167,67,89,98,91,97,60,62,72,69
C-018,2023-12-03,7.415872924909904,62,73,79,76,74,84,64,85,97
C-019,2023-11-25,8.417979158731804,88,81,77,91,87,97,69,65,94
C-020,2023-03-01,11.045712204924952,80,84,84,100,91,85,70,90,85
C-021,2023-01-13,10.916611606240089,87,88,71,74,99,91,65,61,60
C-022,2023-08-04,13.037213481821947,76,95,100,79,70,88,89,82,79
C-023,2023-05-12,3.419808485451762,78,62,95,76,76,61,73,100,84
C-024,2023-12-08,2.105348907709493,92,84,62,85,99,85,87,76,62
C-025,2023-09-07,1.6397277827231052,73,91,67,96,92,66,63,84,84
C-026,2023-04-24,13.006903544004807,71,64,70,62,80,94,60,82,94
C-027,2023-12-31,13.938904458100843,70,82,68,68,79,71,74,82,86
C-028,2023-02-06,10.392012683652831,62,65,82,84,75,78,63,70,68
C-029,2023-01-02,8.947013824825834,70,69,64,73,65,77,98,67,97
C-030,2023-06-09,1.2909563322516857,81,83,63,62,98,84,82,88,83
C-031,2023-12-09,3.128933091263352,77,77,78,81,97,71,72,67,95
C-032,2023-12-24,13.390291166728648,81,96,69,69,65,96,88,88,66
C-033,2023-12-29,13.234321646899307,69,87,80,67,92,95,69,88,83
C-034,2023-07-21,6.3978493324415755,70,64,71,62,77,93,76,88,78
C-035,2023-06-02,8.40660278152015,83,84,70,81,67,99,100,74,72
C-036,2023-02-26,12.06249982629738,63,61,62,83,74,83,73,93,88
C-037,2023-03-15,9.56846946236205,77,81,74,90,98,67,90,100,99
C-038,2023-03-01,6.973550849033036,87,91,67,68,73,96,73,68,78
C-039,2023-08-15,0.5651622154134397,64,60,98,90,85,99,96,90,93
C-040,2023-12-07,1.3632064375209958,77,88,60,71,95,91,67,92,64
C-041,2023-06-02,13.591908041001474,65,100,84,95,64,64,67,60,81
C-042,2023-03-27,14.729179573988281,94,86,98,87,61,94,64,81,92
C-043,2023-04-11,8.382238619079974,63,73,80,98,93,86,94,65,68
C-044,2023-01-10,9.628392881056278,83,99,99,89,60,71,70,81,80
C-045,2023-03-07,3.159439687459577,100,90,82,77,76,82,66,85,92
C-046,2023-03-21,10.490915873290932,64,63,71,68,71,80,81,67,64
C-047,2023-09-24,9.839581894220402,95,61,68,89,68,89,72,66,94
C-048,2023-03-31,5.201065305830415,68,69,73,76,96,92,97,67,98
C-049,2023-04-08,7.8913251954685615,76,74,95,100,73,88,94,99,78
C-050,2023-11-12,5.510780472927539,66,83,89,65,61,85,82,88,86
C-051,2023-10-27,4.709557124224912,86,85,64,88,76,71,82,63,89
C-052,2023-05-14,13.737898013756661,78,60,81,86,66,96,100,91,84
C-053,2023-11-23,10.646192317967706,82,66,66,91,65,98,94,87,63
C-054,2023-05-20,4.542492260097924,78,95,99,78,97,66,83,78,65
C-055,2023-06-16,13.427052954364138,78,60,93,80,91,68,70,83,83
C-056,2023-07-18,7.974437993290127,66,87,86,75,79,63,79,83,66
C-057,2023-04-02,3.578245588627381,72,62,84,63,77,95,60,92,68
C-058,2023-05-25,11.84561316223032,81,60,97,68,98,87,73,90,92
C-059,2023-09-07,11.668702219996014,65,90,73,82,99,73,93,97,77
C-060,2023-04-02,9.759394050045735,66,93,84,95,67,81,73,100,82
C-061,2023-04-29,10.508690579892079,82,75,93,77,91,97,72,61,98
C-062,2023-12-09,7.543978310463737,97,65,68,96,74,61,79,81,62
C-063,2023-05-29,10.53004025803975,88,63,68,86,60,85,61,96,75
C-064,2023-04-18,13.790784446704938,84,98,97,94,89,61,100,74,75
C-065,2023-05-09,5.836546048102932,66,95,96,100,87,87,68,63,98
C-066,2023-03-06,4.825817221817358,82,89,72,90,98,98,94,89,61
C-067,2023-05-10,7.263794024010609,65,72,71,84,89,96,94,85,90
C-068,2023-12-19,10.577135838039675,85,88,80,81,69,71,89,98,94
C-069,2023-06-30,13.847713157050444,75,90,63,79,85,78,96,91,96
C-070,2023-11-16,4.117159098246767,71,80,62,63,97,96,61,77,91
C-071,2023-12-28,14.441536754169602,100,64,88,79,60,91,94,82,95
C-072,2023-08-17,14.76334089327844,90,75,97,98,63,78,85,75,85
C-073,2023-10-12,6.238353399538686,68,95,64,78,82,96,75,72,63
C-074,2023-10-04,8.913901231307108,63,61,82,70,92,98,96,85,65
C-075,2023-03-24,10.0077346310438,91,90,79,93,78,62,90,73,61
C-076,2023-05-06,1.4331127933673367,76,93,72,79,76,94,91,73,94
C-077,2023-02-18,6.163587734916625,78,68,83,72,96,62,83,83,74
C-078,2023-05-28,2.034694842758931,61,73,83,83,79,84,73,93,62
C-079,2023-04-26,13.623335183678686,97,69,94,96,62,86,88,64,95
C-080,2023-08-11,14.617868102406016,92,98,64,83,64,78,82,80,75
C-081,2023-07-30,3.0428125535709283,97,94,89,90,64,92,77,98,90
C-082,2023-05-06,5.863155140099713,73,85,88,76,79,68,76,75,71
C-083,2023-08-31,2.7074856107681917,72,62,79,70,65,76,68,89,89
C-084,2023-07-21,11.048069857336404,88,82,92,65,88,93,87,89,88
C-085,2023-09-28,13.414486873649373,97,97,85,80,79,65,66,82,83
C-086,2023-11-29,6.4384788669772535,61,66,77,67,93,92,65,99,99
C-087,2023-06-09,2.2283016007703775,95,85,100,62,72,96,74,92,65
C-088,2023-06-25,8.355373220430202,90,95,97,80,90,67,100,61,75
C-089,2023-02-02,10.378119465086105,66,83,86,99,69,71,88,74,63
C-090,2023-03-31,0.7272484027898529,80,91,95,100,80,70,97,83,97
C-091,2023-07-17,1.2280057195489449,85,60,74,94,73,93,86,96,86
C-092,2023-02-20,10.78809313701581,77,70,65,63,76,60,78,64,83
C-093,2023-08-29,3.70357931021677,70,89,93,75,68,62,98,73,62
C-094,2023-06-11,6.654759716622542,77,71,79,61,69,80,82,89,75
C-095,2023-08-20,2.831615633847317,93,85,79,61,76,91,81,82,83
C-096,2024-01-01,6.52178482511486,69,81,77,70,79,70,81,85,60
C-097,2023-01-18,4.6626667819604135,72,84,83,76,60,89,71,71,79
C-098,2023-08-11,14.149131348896374,78,64,89,84,92,80,78,96,68
C-099,2023-04-18,8.171249295624646,77,73,80,68,66,89,82,98,83
C-100,2023-09-16,1.850467916100783,79,79,93,68,75,96,93,76,84
C-101,2023-02-21,1.1150333011105285,97,63,69,80,100,70,80,66,89
C-102,2023-01-10,5.842677922409222,98,61,67,63,76,77,71,76,77
