crew_id,training_module,completion_date,score,feedback
C-001,Advanced Technical Operations,2024-01-28,72,Good progress but needs more confidence
C-001,Leadership Development,2023-08-08,76,Good progress but needs more confidence
C-001,Leadership Development,2024-02-13,85,Outstanding performance and engagement
C-001,Communication Workshop,2023-08-30,74,Excellent understanding of concepts
C-001,Quality Management Systems,2023-02-13,73,Outstanding performance and engagement
C-001,Emergency Response Protocol,2023-12-04,72,Excellent understanding of concepts
C-002,Basic Safety Training,2023-05-30,75,Strong theoretical knowledge but requires practice
C-002,Quality Management Systems,2023-09-22,90,Good progress but needs more confidence
C-002,Risk Assessment,2023-12-09,79,Excellent understanding of concepts
C-002,Basic Safety Training,2023-12-23,71,Demonstrates great potential for advancement
C-002,Equipment Handling,2023-03-19,88,Strong theoretical knowledge but requires practice
C-002,Quality Management Systems,2023-02-23,78,Strong theoretical knowledge but requires practice
C-002,Communication Workshop,2024-02-20,94,Excellent understanding of concepts
C-002,Quality Management Systems,2023-01-07,98,Good progress but needs more confidence
C-003,Team Building,2023-09-17,90,Strong theoretical knowledge but requires practice
C-003,Communication Workshop,2023-07-27,73,Outstanding performance and engagement
C-003,Equipment Handling,2024-01-07,71,Demonstrates great potential for advancement
C-003,Communication Workshop,2023-11-16,94,Strong theoretical knowledge but requires practice
C-003,Basic Safety Training,2023-08-21,78,Excellent understanding of concepts
C-003,Advanced Technical Operations,2023-03-16,75,Demonstrates great potential for advancement
C-003,Basic Safety Training,2023-06-30,72,Good progress but needs more confidence
C-004,Risk Assessment,2024-01-29,83,Excellent understanding of concepts
C-004,Risk Assessment,2023-08-11,84,Needs improvement in practical application
C-005,Quality Management Systems,2023-10-18,91,Good progress but needs more confidence
C-005,Team Building,2023-05-14,99,Excellent understanding of concepts
C-005,Basic Safety Training,2023-09-20,72,Strong theoretical knowledge but requires practice
C-005,Basic Safety Training,2023-04-13,78,Excellent understanding of concepts
C-006,Basic Safety Training,2023-12-03,100,Excellent understanding of concepts
C-006,Emergency Response Protocol,2023-07-07,80,Excellent understanding of concepts
C-007,Leadership Development,2023-08-23,95,Demonstrates great potential for advancement
C-007,Quality Management Systems,2024-01-20,90,Excellent understanding of concepts
C-007,Quality Management Systems,2023-12-11,74,Good progress but needs more confidence
C-008,Emergency Response Protocol,2023-01-11,84,Outstanding performance and engagement
C-008,Basic Safety Training,2024-01-14,85,Demonstrates great potential for advancement
C-008,Communication Workshop,2023-10-22,80,Good progress but needs more confidence
C-008,Advanced Technical Operations,2023-03-01,71,Excellent understanding of concepts
C-008,Risk Assessment,2023-08-08,86,Outstanding performance and engagement
C-008,Emergency Response Protocol,2023-10-07,86,Demonstrates great potential for advancement
C-009,Communication Workshop,2023-04-20,97,Outstanding performance and engagement
C-009,Emergency Response Protocol,2023-02-24,71,Good progress but needs more confidence
C-010,Quality Management Systems,2023-09-28,98,Demonstrates great potential for advancement
C-010,Communication Workshop,2024-03-16,80,Outstanding performance and engagement
C-010,Team Building,2023-12-28,98,Excellent understanding of concepts
