Crew_ID,department,Date,Task_Completion_Time,Idle_Time,Shift_Duration,Fatigue_Level,Weather_Condition,Equipment_Used,Tasks_Completed,Experience_Level,Safety_Incidents,Shift_Start_Time,Breaks_Taken
C-001,Aircraft Servicing,2023-04-04,100.67,8.14,554.7,5.52,Rainy,Equipment_D,2,13.03,1,2023-01-01 07:54:00,1
C-002,Communication and Coordination,2023-01-12,80.12,38.67,486.21,2.7,Windy,Equipment_B,6,18.26,0,2023-01-01 07:20:00,2
C-003,Emergency and Contingency Tasks,2023-06-13,75.0,41.87,598.65,2.17,Cloudy,Equipment_B,5,1.04,0,2023-01-01 17:59:00,2
C-004,Emergency and Contingency Tasks,2023-05-30,64.0,26.89,495.7,7.67,Windy,Equipment_D,5,6.65,1,2023-01-01 07:51:00,4
C-005,Aircraft and Passenger Operations,2023-01-15,38.38,34.75,559.97,3.66,Cloudy,Equipment_A,7,7.72,0,2023-01-01 13:50:00,1
C-006,Equipment Operation and Maintenance,2023-12-24,21.17,17.06,496.25,6.22,Sunny,Equipment_C,5,18.7,1,2023-01-01 02:46:00,1
C-007,Aircraft Servicing,2023-01-24,97.99,49.34,548.49,8.11,Sunny,Equipment_B,1,18.77,0,2023-01-01 08:44:00,3
C-008,Aircraft and Passenger Operations,2023-06-21,101.0,6.63,538.15,7.72,Rainy,Equipment_B,5,8.66,1,2023-01-01 23:32:00,3
C-009,Baggage and Cargo Handling,2023-12-07,64.16,13.82,535.09,4.18,Cloudy,Equipment_B,7,12.17,0,2023-01-01 15:24:00,4
C-010,Emergency and Contingency Tasks,2023-08-16,41.97,9.75,500.89,9.76,Windy,Equipment_C,9,10.02,0,2023-01-01 10:14:00,4
C-011,Aircraft Servicing,2023-07-30,98.38,28.47,576.73,3.33,Sunny,Equipment_C,3,5.07,1,2023-01-01 03:59:00,2
C-012,Baggage and Cargo Handling,2023-07-01,85.03,58.64,490.86,4.03,Sunny,Equipment_B,6,5.48,0,2023-01-01 20:36:00,2
C-013,Safety and Maintenance Support,2023-03-17,51.73,45.3,531.78,1.11,Rainy,Equipment_B,6,9.6,1,2023-01-01 05:57:00,3
